movie_id,title,genres,release_year,rating,popularity,runtime
68721,"Iron Man 3",",Action, ,Adventure, ,Science Fiction",2013-04-18,6.8,77.68208,130
12155,"Alice in Wonderland",",Family, ,Fantasy, ,Adventure",2010-03-03,6.4,78.530105,108
36668,"X-Men: The Last Stand",",Adventure, ,Action, ,Science Fiction, ,Thriller",2006-05-24,6.3,3.857526,104
62211,"Monsters University",",Animation, ,Family",2013-06-20,7,89.186492,104
8373,"Transformers: Revenge of the Fallen",",Science Fiction, ,Action, ,Adventure",2009-06-19,6,21.939663,150
91314,"Transformers: Age of Extinction",",Science Fiction, ,Action, ,Adventure",2014-06-25,5.8,116.840296,165
68728,"Oz: The Great and Powerful",",Fantasy, ,Adventure, ,Family",2013-03-07,5.7,46.985445,130
102382,"The Amazing Spider-Man 2",",Action, ,Adventure, ,Fantasy",2014-04-16,6.5,89.270217,142
20526,"TRON: Legacy",",Adventure, ,Action, ,Science Fiction",2010-12-10,6.3,73.79505,125
49013,"Cars 2",",Animation, ,Family, ,Adventure, ,Comedy",2011-06-11,5.8,49.98659,106
44912,"Green Lantern",",Adventure, ,Action, ,Thriller, ,Science Fiction",2011-06-16,5.1,51.872839,114
10193,"Toy Story 3",",Animation, ,Family, ,Comedy",2010-06-16,7.6,59.995418,103
534,"Terminator Salvation",",Action, ,Science Fiction, ,Thriller",2009-05-20,5.9,71.862892,115
168259,"Furious 7",",Action",2015-04-01,7.3,102.322217,137
72190,"World War Z",",Action, ,Drama, ,Horror, ,Science Fiction, ,Thriller",2013-06-20,6.7,81.834855,116
127585,"X-Men: Days of Future Past",",Action, ,Adventure, ,Fantasy, ,Science Fiction",2014-05-15,7.5,118.078691,131
54138,"Star Trek Into Darkness",",Action, ,Adventure, ,Science Fiction",2013-05-05,7.4,78.291018,132
81005,"Jack the Giant Slayer",",Action, ,Family, ,Fantasy",2013-02-27,5.5,43.349855,114
64682,"The Great Gatsby",",Drama, ,Romance",2013-05-10,7.3,61.196071,143
9543,"Prince of Persia: The Sands of Time",",Adventure, ,Fantasy, ,Action, ,Romance",2010-05-19,6.2,62.169881,116
68726,"Pacific Rim",",Action, ,Science Fiction, ,Adventure",2013-07-11,6.7,56.523205,131
38356,"Transformers: Dark of the Moon",",Action, ,Science Fiction, ,Adventure",2011-06-28,6.1,28.529607,154
217,"Indiana Jones and the Kingdom of the Crystal Skull",",Adventure, ,Action",2008-05-21,5.7,75.674458,122
105864,"The Good Dinosaur",",Adventure, ,Animation, ,Family",2015-11-14,6.6,51.692953,93
62177,Brave,",Animation, ,Adventure, ,Comedy, ,Family, ,Action, ,Fantasy",2012-06-21,6.7,125.114374,93
188927,"Star Trek Beyond",",Action, ,Adventure, ,Science Fiction",2016-07-07,6.6,65.352913,122
10681,WALL·E,",Animation, ,Family",2008-06-22,7.8,66.390712,98
5174,"Rush Hour 3",",Action, ,Comedy, ,Crime, ,Thriller",2007-08-08,6.1,22.57178,91
14161,2012,",Action, ,Adventure, ,Science Fiction",2009-10-10,5.6,45.274225,158
17979,"A Christmas Carol",",Animation, ,Drama",2009-11-04,6.6,39.744242,96
76757,"Jupiter Ascending",",Science Fiction, ,Fantasy, ,Action, ,Adventure",2015-02-04,5.2,85.36908,124
258489,"The Legend of Tarzan",",Action, ,Adventure",2016-06-29,5.5,42.741719,109
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",",Adventure, ,Family, ,Fantasy",2005-12-07,6.7,67.391328,143
246655,"X-Men: Apocalypse",",Science Fiction",2016-05-18,6.4,139.272042,144
155,"The Dark Knight",",Drama, ,Action, ,Crime, ,Thriller",2008-07-16,8.2,187.322927,152
14160,Up,",Animation, ,Comedy, ,Family, ,Adventure",2009-05-13,7.7,92.201962,96
15512,"Monsters vs Aliens",",Animation, ,Family, ,Adventure, ,Science Fiction",2009-03-19,6,36.167578,94
1726,"Iron Man",",Action, ,Science Fiction, ,Adventure",2008-04-30,7.4,120.725053,126
44826,Hugo,",Adventure, ,Drama, ,Family",2011-11-22,7,32.319043,126
8487,"Wild Wild West",",Action, ,Adventure, ,Comedy, ,Science Fiction, ,Western",1999-06-29,5.1,40.748915,106
1735,"The Mummy: Tomb of the Dragon Emperor",",Adventure, ,Action, ,Fantasy",2008-07-01,5.2,60.034162,112
297761,"Suicide Squad",",Action, ,Adventure, ,Crime, ,Fantasy, ,Science Fiction",2016-08-02,5.9,90.23792,123
2698,"Evan Almighty",",Fantasy, ,Comedy, ,Family",2007-06-09,5.3,27.082182,96
137113,"Edge of Tomorrow",",Action, ,Science Fiction",2014-05-27,7.6,79.456485,113
9804,Waterworld,",Adventure, ,Action",1995-07-28,5.9,44.640292,135
14869,"G.I. Joe: The Rise of Cobra",",Adventure, ,Action, ,Thriller, ,Science Fiction",2009-08-04,5.6,32.852443,118
150540,"Inside Out",",Drama, ,Comedy, ,Animation, ,Family",2015-06-09,8,128.655964,94
278927,"The Jungle Book",",Family, ,Adventure, ,Drama, ,Fantasy",2016-04-07,6.7,94.199316,106
10138,"Iron Man 2",",Adventure, ,Action, ,Science Fiction",2010-04-28,6.6,77.300194,124
58595,"Snow White and the Huntsman",",Adventure, ,Fantasy, ,Drama",2012-05-30,5.8,77.178973,127
102651,Maleficent,",Fantasy, ,Adventure, ,Action, ,Family, ,Romance",2014-05-28,7,110.620647,97
119450,"Dawn of the Planet of the Apes",",Science Fiction, ,Action, ,Drama, ,Thriller",2014-06-26,7.3,243.791743,130
79698,"The Lovers",",Action, ,Adventure, ,Science Fiction, ,Romance",2015-02-13,4.8,2.418535,109
64686,"47 Ronin",",Drama, ,Action, ,Adventure, ,Fantasy",2013-12-06,5.9,41.796339,119
100402,"Captain America: The Winter Soldier",",Action, ,Adventure, ,Science Fiction",2014-03-20,7.6,72.225265,136
10192,"Shrek Forever After",",Comedy, ,Adventure, ,Fantasy, ,Animation, ,Family",2010-05-16,6,44.041186,93
158852,Tomorrowland,",Adventure, ,Family, ,Mystery, ,Science Fiction",2015-05-19,6.2,130.311355,130
177572,"Big Hero 6",",Adventure, ,Family, ,Animation, ,Action, ,Comedy",2014-10-24,7.8,203.73459,102
82690,"Wreck-It Ralph",",Family, ,Animation, ,Comedy, ,Adventure",2012-11-01,7.1,62.341073,108
5255,"The Polar Express",",Adventure, ,Animation, ,Family, ,Fantasy",2004-11-10,6.4,47.323228,100
47933,"Independence Day: Resurgence",",Action, ,Adventure, ,Science Fiction",2016-06-22,4.9,48.775723,120
10191,"How to Train Your Dragon",",Fantasy, ,Adventure, ,Animation, ,Family",2010-03-05,7.5,67.263269,98
296,"Terminator 3: Rise of the Machines",",Action, ,Thriller, ,Science Fiction",2003-07-02,5.9,69.405188,109
118340,"Guardians of the Galaxy",",Action, ,Science Fiction, ,Adventure",2014-07-30,7.9,481.098624,121
157336,Interstellar,",Adventure, ,Drama, ,Science Fiction",2014-11-05,8.1,724.247784,169
27205,Inception,",Action, ,Thriller, ,Science Fiction, ,Mystery, ,Adventure",2010-07-14,8.1,167.58371,148
315011,"Shin Godzilla",",Action, ,Adventure, ,Drama, ,Horror, ,Science Fiction",2016-07-29,6.5,9.476999,120
49051,"The Hobbit: An Unexpected Journey",",Adventure, ,Fantasy, ,Action",2012-11-26,7,108.849621,169
9799,"The Fast and the Furious",",Action, ,Crime, ,Thriller",2001-06-22,6.6,6.909942,106
4922,"The Curious Case of Benjamin Button",",Fantasy, ,Drama, ,Thriller, ,Mystery, ,Romance",2008-11-24,7.3,60.269279,166
49538,"X-Men: First Class",",Action, ,Science Fiction, ,Adventure",2011-05-24,7.1,3.195174,132
131634,"The Hunger Games: Mockingjay - Part 2",",Action, ,Adventure, ,Science Fiction",2015-11-18,6.6,127.284427,137
27022,"The Sorcerer's Apprentice",",Fantasy, ,Adventure, ,Action, ,Comedy, ,Drama",2010-07-13,5.8,35.580815,109
503,Poseidon,",Adventure, ,Action, ,Drama, ,Thriller",2006-05-12,5.5,21.133748,99
241259,"Alice Through the Looking Glass",",Fantasy",2016-05-25,6.5,56.268916,113
810,"Shrek the Third",",Fantasy, ,Adventure, ,Animation, ,Comedy, ,Family",2007-05-17,6,42.986467,93
68735,Warcraft,",Action, ,Adventure, ,Fantasy",2016-05-25,6.3,63.148529,123
87101,"Terminator Genisys",",Science Fiction, ,Action, ,Thriller, ,Adventure",2015-06-23,5.8,202.042635,126
10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader",",Adventure, ,Family, ,Fantasy",2010-08-13,6.2,49.661984,113
676,"Pearl Harbor",",History, ,Romance, ,War",2001-05-21,6.6,34.20669,183
1858,Transformers,",Adventure, ,Science Fiction, ,Action",2007-06-27,6.6,25.468493,144
1966,Alexander,",War, ,History, ,Action, ,Adventure, ,Drama, ,Romance",2004-11-21,5.6,39.019229,175
675,"Harry Potter and the Order of the Phoenix",",Adventure, ,Fantasy, ,Family, ,Mystery",2007-06-28,7.4,78.144395,138
674,"Harry Potter and the Goblet of Fire",",Adventure, ,Fantasy, ,Family",2005-11-05,7.5,101.250416,157
8960,Hancock,",Fantasy, ,Action",2008-07-01,6.2,56.758411,92
6479,"I Am Legend",",Drama, ,Horror, ,Action, ,Thriller, ,Science Fiction",2007-12-14,6.9,70.867401,101
118,"Charlie and the Chocolate Factory",",Adventure, ,Comedy, ,Family, ,Fantasy",2005-07-13,6.7,53.905592,115
2062,Ratatouille,",Animation, ,Comedy, ,Family, ,Fantasy",2007-06-22,7.5,65.677399,111
272,"Batman Begins",",Action, ,Crime, ,Drama",2005-06-10,7.5,115.040024,140
10527,"Madagascar: Escape 2 Africa",",Family, ,Animation",2008-10-30,6.2,44.141021,89
18360,"Night at the Museum: Battle of the Smithsonian",",Adventure, ,Fantasy, ,Action, ,Comedy, ,Family",2009-05-20,5.9,81.781591,105
2080,"X-Men Origins: Wolverine",",Adventure, ,Action, ,Thriller, ,Science Fiction",2009-04-28,6.2,5.954334,107
605,"The Matrix Revolutions",",Adventure, ,Action, ,Thriller, ,Science Fiction",2003-11-05,6.4,73.313918,129
109445,Frozen,",Animation, ,Adventure, ,Family",2013-11-27,7.3,165.125366,102
604,"The Matrix Reloaded",",Adventure, ,Action, ,Thriller, ,Science Fiction",2003-05-15,6.7,70.78591,138
76338,"Thor: The Dark World",",Action, ,Adventure, ,Fantasy",2013-10-29,6.8,99.499595,112
76341,"Mad Max: Fury Road",",Action, ,Adventure, ,Science Fiction, ,Thriller",2015-05-13,7.2,434.278564,120
13448,"Angels & Demons",",Thriller, ,Mystery",2009-05-13,6.5,67.447636,138
10195,Thor,",Adventure, ,Fantasy, ,Action",2011-04-21,6.6,86.493424,115
13053,Bolt,",Animation, ,Family, ,Adventure, ,Comedy",2008-11-21,6.3,41.845878,98
19585,G-Force,",Fantasy, ,Action, ,Adventure, ,Family, ,Comedy",2009-07-21,5.1,26.710398,88
57165,"Wrath of the Titans",",Adventure",2012-03-27,5.5,44.927635,99
62213,"Dark Shadows",",Comedy, ,Fantasy",2012-05-08,5.7,50.306728,113
177677,"Mission: Impossible - Rogue Nation",",Action, ,Adventure, ,Thriller",2015-07-23,7.1,114.522237,131
7978,"The Wolfman",",Drama, ,Horror, ,Thriller",2010-02-11,5.5,21.214571,102
5559,"Bee Movie",",Family, ,Animation, ,Adventure, ,Comedy",2007-10-28,5.7,29.332905,91
49444,"Kung Fu Panda 2",",Animation, ,Family",2011-05-25,6.7,51.247321,91
10196,"The Last Airbender",",Action, ,Adventure, ,Family, ,Fantasy",2010-06-30,4.7,33.769336,103
956,"Mission: Impossible III",",Adventure, ,Action, ,Thriller",2006-05-03,6.5,63.079003,126
117251,"White House Down",",Action, ,Drama, ,Thriller",2013-06-27,6.4,39.004588,131
50321,"Mars Needs Moms",",Adventure, ,Animation, ,Family",2011-03-09,5.5,12.362599,88
11619,"Flushed Away",",Adventure, ,Animation, ,Comedy, ,Family",2006-10-22,6,22.550135,85
266647,Pan,",Adventure, ,Family, ,Fantasy",2015-09-24,5.9,48.03528,111
82703,"Mr. Peabody & Sherman",",Animation, ,Adventure, ,Family",2014-02-07,6.7,38.73494,92
652,Troy,",Adventure, ,Drama, ,War",2004-05-13,6.9,66.803149,163
80321,"Madagascar 3: Europe's Most Wanted",",Animation, ,Family",2012-06-06,6.4,44.989192,93
36669,"Die Another Day",",Adventure, ,Action, ,Thriller",2002-11-17,5.8,54.159392,133
43074,Ghostbusters,",Action, ,Fantasy, ,Comedy",2016-07-14,5.3,66.21806,116
95,Armageddon,",Action, ,Thriller, ,Science Fiction, ,Adventure",1998-07-01,6.4,58.485967,151
608,"Men in Black II",",Action, ,Adventure, ,Comedy, ,Science Fiction",2002-07-03,6,91.332849,88
2310,Beowulf,",Adventure, ,Action, ,Animation",2007-11-05,5.5,35.601665,115
140300,"Kung Fu Panda 3",",Action, ,Adventure, ,Animation, ,Comedy, ,Family",2016-01-23,6.7,56.747978,95
56292,"Mission: Impossible - Ghost Protocol",",Action, ,Thriller, ,Adventure",2011-12-07,6.8,77.77477,133
81188,"Rise of the Guardians",",Fantasy, ,Animation, ,Family",2012-11-21,7.1,61.788035,97
7552,"Fun with Dick and Jane",",Comedy",2005-12-21,5.9,25.159168,90
616,"The Last Samurai",",Drama, ,Action, ,War, ,History",2003-12-05,7.3,52.341226,154
147441,"Exodus: Gods and Kings",",Adventure, ,Drama, ,Action",2014-12-03,5.6,101.599427,150
13475,"Star Trek",",Science Fiction, ,Action, ,Adventure",2009-05-06,7.4,73.616808,127
557,Spider-Man,",Fantasy, ,Action",2002-05-01,6.8,82.502566,121
82702,"How to Train Your Dragon 2",",Fantasy, ,Action, ,Adventure, ,Animation, ,Comedy, ,Family",2014-06-12,7.6,100.21391,102
205584,"Gods of Egypt",",Fantasy",2016-02-25,5.3,56.257249,127
10048,Stealth,",Action",2005-07-28,4.9,17.88953,121
13183,Watchmen,",Action, ,Mystery, ,Science Fiction",2009-03-05,7,64.798873,163
944,"Lethal Weapon 4",",Action, ,Adventure, ,Comedy, ,Crime, ,Thriller",1998-07-10,6.3,24.855701,127
1927,Hulk,",Drama, ,Action, ,Science Fiction",2003-06-19,5.3,34.981698,138
72559,"G.I. Joe: Retaliation",",Adventure, ,Action, ,Science Fiction, ,Thriller",2013-03-26,5.4,59.325589,110
7364,Sahara,",Action, ,Adventure, ,Comedy, ,Drama, ,Mystery",2005-04-06,5.7,21.605568,124
2114,"Final Fantasy: The Spirits Within",",Adventure, ,Action, ,Animation, ,Fantasy, ,Science Fiction, ,Thriller",2001-07-02,5.9,26.074908,106
1771,"Captain America: The First Avenger",",Action, ,Adventure, ,Science Fiction",2011-07-22,6.6,74.506246,124
36643,"The World Is Not Enough",",Adventure, ,Action, ,Thriller",1999-11-08,6,39.604363,128
8619,"Master and Commander: The Far Side of the World",",Adventure",2003-11-14,6.9,36.973031,138
50620,"The Twilight Saga: Breaking Dawn - Part 2",",Adventure, ,Fantasy, ,Drama, ,Romance",2012-11-13,6.1,99.687084,115
65759,"Happy Feet Two",",Animation, ,Comedy, ,Family",2011-11-17,5.8,17.7735,100
1724,"The Incredible Hulk",",Science Fiction, ,Action, ,Adventure",2008-06-12,6.1,62.898336,114
267935,"The BFG",",Adventure, ,Family, ,Fantasy",2016-06-01,6,44.19092,120
281957,"The Revenant",",Western, ,Drama, ,Adventure, ,Thriller",2015-12-25,7.3,100.635882,156
77950,Turbo,",Animation, ,Family",2013-07-11,6.1,44.765377,96
44896,Rango,",Animation, ,Comedy, ,Family, ,Western, ,Adventure",2011-03-02,6.6,29.91353,107
270946,"Penguins of Madagascar",",Family, ,Animation, ,Adventure, ,Comedy",2014-11-22,6.5,84.366984,92
2503,"The Bourne Ultimatum",",Action, ,Drama, ,Mystery, ,Thriller",2007-08-03,7.3,45.381501,115
9502,"Kung Fu Panda",",Adventure, ,Animation, ,Family, ,Comedy",2008-06-04,6.9,84.689648,90
102899,Ant-Man,",Science Fiction, ,Action, ,Adventure",2015-07-14,7,120.09361,117
101299,"The Hunger Games: Catching Fire",",Adventure, ,Action, ,Science Fiction",2013-11-15,7.4,76.310119,146
228161,Home,",Fantasy, ,Comedy, ,Animation, ,Science Fiction, ,Family",2015-03-18,6.8,63.473086,94
74,"War of the Worlds",",Adventure, ,Thriller, ,Science Fiction",2005-06-28,6.2,48.572726,116
8961,"Bad Boys II",",Adventure, ,Action, ,Comedy, ,Thriller, ,Crime",2003-07-18,6.3,38.068736,147
417859,"Puss in Boots",",Action, ,Adventure, ,Animation, ,Family, ,Fantasy",2011-10-28,6.4,20.678787,90
27576,Salt,",Action, ,Mystery, ,Thriller",2010-07-21,6.2,48.829437,100
86834,Noah,",Drama, ,Adventure",2014-03-20,5.6,46.115758,139
17578,"The Adventures of Tintin",",Adventure, ,Animation, ,Mystery",2011-10-25,6.7,89.938296,107
673,"Harry Potter and the Prisoner of Azkaban",",Adventure, ,Fantasy, ,Family",2004-05-31,7.7,79.679601,141
6972,Australia,",Drama",2008-11-18,6.3,28.840997,165
82700,"After Earth",",Science Fiction, ,Action, ,Adventure",2013-05-30,5,42.840582,100
10567,Dinosaur,",Animation, ,Family",2000-05-19,6.2,26.548594,82
181533,"Night at the Museum: Secret of the Tomb",",Adventure, ,Comedy, ,Fantasy, ,Family",2014-12-17,6.1,115.597753,97
38055,Megamind,",Animation, ,Action, ,Comedy, ,Family, ,Science Fiction",2010-10-28,6.7,68.757242,95
671,"Harry Potter and the Philosopher's Stone",",Adventure, ,Fantasy, ,Family",2001-11-16,7.5,109.984351,152
49524,R.I.P.D.,",Fantasy, ,Action, ,Comedy, ,Crime",2013-07-18,5.4,39.448066,96
22,"Pirates of the Caribbean: The Curse of the Black Pearl",",Adventure, ,Fantasy, ,Action",2003-07-09,7.5,271.972889,143
131631,"The Hunger Games: Mockingjay - Part 1",",Science Fiction, ,Adventure, ,Thriller",2014-11-18,6.6,206.227151,123
591,"The Da Vinci Code",",Thriller, ,Mystery",2006-05-17,6.5,45.313197,149
172385,"Rio 2",",Animation, ,Adventure, ,Comedy, ,Family",2014-03-19,6.3,42.40024,102
36658,X2,",Adventure, ,Action, ,Science Fiction, ,Thriller",2003-04-24,6.8,2.871739,133
51497,"Fast Five",",Action, ,Thriller, ,Crime",2011-04-20,7.1,7.255718,130
58574,"Sherlock Holmes: A Game of Shadows",",Adventure, ,Action, ,Crime, ,Mystery",2011-11-22,7,81.499621,129
18823,"Clash of the Titans",",Adventure, ,Fantasy, ,Action",2010-04-01,5.6,47.686442,106
861,"Total Recall",",Action, ,Adventure, ,Science Fiction",1990-06-01,7.1,43.129703,113
1911,"The 13th Warrior",",Adventure, ,Fantasy, ,Action",1999-08-27,6.4,27.220157,102
49040,"The Bourne Legacy",",Action, ,Thriller",2012-08-08,6,90.33681,120
415,"Batman & Robin",",Action, ,Crime, ,Fantasy",1997-06-20,4.2,50.073575,125
8871,"How the Grinch Stole Christmas",",Family, ,Comedy, ,Fantasy",2000-11-17,6.2,45.419668,104
435,"The Day After Tomorrow",",Action, ,Adventure, ,Science Fiction, ,Thriller",2004-05-26,6.2,41.380094,124
955,"Mission: Impossible II",",Adventure, ,Action, ,Thriller",2000-05-24,5.9,54.931334,123
2133,"The Perfect Storm",",Drama",2000-03-15,6.2,25.752118,130
1979,"Fantastic 4: Rise of the Silver Surfer",",Adventure, ,Fantasy, ,Action, ,Thriller",2007-06-13,5.4,60.810723,92
87827,"Life of Pi",",Adventure, ,Drama, ,Action",2012-11-20,7.2,51.328145,127
1250,"Ghost Rider",",Thriller, ,Action, ,Fantasy, ,Horror",2007-02-16,5.2,46.834704,114
324668,"Jason Bourne",",Action, ,Thriller",2016-07-27,5.9,62.641286,123
9471,"Charlie's Angels: Full Throttle",",Action, ,Adventure, ,Comedy",2003-06-27,5.2,33.616115,106
70981,Prometheus,",Science Fiction, ,Adventure, ,Mystery",2012-05-30,6.3,68.889395,124
10996,"Stuart Little 2",",Family, ,Adventure, ,Animation, ,Comedy",2002-07-19,5.4,27.990284,78
68724,Elysium,",Science Fiction, ,Action, ,Drama, ,Thriller",2013-08-07,6.4,67.33767,109
2789,"The Chronicles of Riddick",",Action, ,Science Fiction",2004-06-11,6.3,27.835436,119
97020,RoboCop,",Action, ,Science Fiction",2014-01-30,5.7,66.757869,102
7459,"Speed Racer",",Action, ,Family, ,Science Fiction",2008-05-09,5.7,17.060695,135
42888,"How Do You Know",",Comedy, ,Drama, ,Romance",2010-12-17,4.9,11.137655,121
37834,"Knight and Day",",Action, ,Comedy",2010-06-15,5.9,44.906918,109
75612,Oblivion,",Action, ,Science Fiction, ,Adventure, ,Mystery",2013-04-10,6.4,67.698004,124
1895,"Star Wars: Episode III - Revenge of the Sith",",Science Fiction, ,Adventure, ,Action",2005-05-17,7.1,44.108427,140
1894,"Star Wars: Episode II - Attack of the Clones",",Adventure, ,Action, ,Science Fiction",2002-05-15,6.4,43.987061,142
585,"Monsters, Inc.",",Animation, ,Comedy, ,Family",2001-11-01,7.5,106.815545,92
76170,"The Wolverine",",Action, ,Science Fiction, ,Adventure, ,Fantasy",2013-07-23,6.3,15.953444,126
1893,"Star Wars: Episode I - The Phantom Menace",",Adventure, ,Action, ,Science Fiction",1999-05-19,6.3,54.035265,136
49519,"The Croods",",Adventure, ,Animation, ,Comedy, ,Family, ,Fantasy",2013-03-20,6.8,64.183321,98
2395,"Asterix at the Olympic Games",",Fantasy, ,Adventure, ,Comedy, ,Family",2008-01-13,5,20.344364,116
12100,Windtalkers,",Drama, ,Action, ,History, ,War",2002-06-14,5.8,18.714197,134
290595,"The Huntsman: Winter's War",",Action, ,Adventure, ,Drama",2016-04-06,6,60.467984,114
98566,"Teenage Mutant Ninja Turtles",",Science Fiction, ,Action, ,Adventure, ,Fantasy, ,Comedy",2014-08-07,5.8,143.350376,101
49047,Gravity,",Science Fiction, ,Thriller, ,Drama",2013-09-27,7.3,110.153618,91
9619,"Dante's Peak",",Action, ,Adventure, ,Thriller",1997-02-07,5.7,16.90444,108
308531,"Teenage Mutant Ninja Turtles: Out of the Shadows",",Fantasy, ,Action, ,Adventure, ,Comedy",2016-06-01,5.8,39.873791,112
166424,"Fantastic Four",",Action, ,Adventure, ,Science Fiction",2015-08-05,4.4,38.126095,100
1593,"Night at the Museum",",Action, ,Adventure, ,Comedy, ,Family, ,Fantasy",2006-10-20,6.3,48.780039,108
254128,"San Andreas",",Action, ,Drama, ,Thriller",2015-05-27,6,100.412364,114
714,"Tomorrow Never Dies",",Adventure, ,Action, ,Thriller",1997-12-11,6,42.887121,119
2024,"The Patriot",",Drama, ,History, ,War, ,Action",2000-06-28,6.8,23.657284,165
163,"Ocean's Twelve",",Thriller, ,Crime",2004-12-09,6.4,76.840712,125
787,"Mr. & Mrs. Smith",",Action, ,Comedy, ,Drama, ,Thriller",2005-06-07,6.5,44.635452,120
262500,Insurgent,",Adventure, ,Science Fiction, ,Thriller",2015-03-18,6.2,103.718387,119
2567,"The Aviator",",Drama",2004-12-17,7,45.616098,170
38745,"Gulliver's Travels",",Comedy",2010-12-25,4.9,22.845143,85
40805,"The Green Hornet",",Action, ,Crime, ,Comedy",2011-01-12,5.5,31.703608,119
53182,"300: Rise of an Empire",",Action, ,War",2014-03-05,6.1,71.510596,102
41513,"The Smurfs",",Animation, ,Family, ,Adventure, ,Comedy, ,Fantasy",2011-07-29,5.5,36.65422,103
13700,"Home on the Range",",Animation, ,Family",2004-04-02,5.7,19.625972,76
262504,Allegiant,",Adventure, ,Science Fiction",2016-03-09,5.9,86.105615,121
39254,"Real Steel",",Action, ,Science Fiction, ,Drama",2011-09-28,6.6,37.195046,127
77931,"The Smurfs 2",",Fantasy, ,Family, ,Comedy, ,Animation",2013-07-30,5.5,32.473628,105
1639,"Speed 2: Cruise Control",",Action, ,Adventure, ,Thriller",1997-06-13,4.1,23.336875,121
80274,"Ender's Game",",Science Fiction, ,Action, ,Adventure",2013-10-23,6.6,45.94834,114
1571,"Live Free or Die Hard",",Action, ,Thriller",2007-06-20,6.4,48.93337,128
120,"The Lord of the Rings: The Fellowship of the Ring",",Adventure, ,Fantasy, ,Action",2001-12-18,8,138.049577,178
10204,"Around the World in 80 Days",",Action, ,Adventure, ,Comedy",2004-06-16,5.7,22.643776,120
8489,Ali,",Drama",2001-12-11,6.7,18.866672,157
10588,"The Cat in the Hat",",Comedy, ,Fantasy, ,Family",2003-11-21,4.9,18.251129,82
2048,"I, Robot",",Action, ,Science Fiction",2004-07-15,6.7,95.914473,115
1495,"Kingdom of Heaven",",Drama, ,Action, ,Adventure, ,History, ,War",2005-05-03,6.6,44.490453,144
